"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"Annals of Family Medicine (ID 1)","Annals of Family Medicine10.1370","open","2232","667","false","false"
"American Association of Petroleum Geologists AAPG/Datapages (ID 2)","American Association of Petroleum Geologists AAPG/Datapages10.15530","open","29138","1266","true","false"
"American Association of Petroleum Geologists AAPG/Datapages (ID 2)","American Association of Petroleum Geologists AAPG/Datapages10.1306","open","29138","1266","true","false"
"American Association of Physics Teachers (AAPT) (ID 3)","American Association of Physics Teachers (AAPT)10.1119","open","41275","1712","true","true"
"American College of Medical Physics (ACMP) (ID 6)","American College of Medical Physics (ACMP)10.1120","open","0","0","false","false"
"Allen Press (ID 9)","Allen Press10.1043","open","0","0","false","false"
"American Medical Association (AMA) (ID 10)","American Medical Association (AMA)10.1001","open","603023","20712","true","true"
"American Economic Association (ID 11)","American Economic Association10.1257","open","20205","8544","true","true"
"American Meteorological Society (ID 12)","American Meteorological Society10.1175","open","116126","5809","true","true"
"American Geophysical Union (AGU) (ID 13)","American Geophysical Union (AGU)10.1029","open","230687","21542","true","true"
"American Mathematical Society (AMS) (ID 14)","American Mathematical Society (AMS)10.1090","open","134476","6129","true","true"
"American Psychological Association (APA) (ID 15)","American Psychological Association (APA)10.1037","open","629269","31251","true","true"
"American Physical Society (APS) (ID 16)","American Physical Society (APS)10.29172","open","661523","56344","true","true"
"American Physical Society (APS) (ID 16)","American Physical Society (APS)10.1103","open","661523","56344","true","true"
"American Scientific Publishers (ID 17)","American Scientific Publishers10.1166","open","63293","7326","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1164","open","61366","20113","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.34197","open","61366","20113","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1165","open","61366","20113","true","true"
"American Thoracic Society (ID 19)","American Thoracic Society10.1513","open","61366","20113","true","true"
"American Vacuum Society (ID 20)","American Vacuum Society10.1116","open","40448","1577","true","true"
"Medical Association of Nippon Medical School (ID 21)","Medical Association of Nippon Medical School10.1272","open","7751","407","true","true"
"Annual Reviews (ID 22)","Annual Reviews10.1146","open","40561","4026","true","true"
"American Pharmacists Association (ID 23)","American Pharmacists Association10.21019","open","3523","632","true","true"
"American Physiological Society (ID 24)","American Physiological Society10.1152","open","171079","6344","true","true"
"Applied Probability Trust (ID 25)","Applied Probability Trust10.1239","open","0","0","false","false"
"Association for Research in Vision and Ophthalmology (ARVO) (ID 27)","Association for Research in Vision and Ophthalmology (ARVO)10.1167","open","43220","4860","true","true"
"American Society for Biochemistry & Molecular Biology (ASBMB) (ID 28)","American Society for Biochemistry & Molecular Biology (ASBMB)10.1074","open","137","17","true","true"
"American Society for Biochemistry & Molecular Biology (ASBMB) (ID 28)","American Society for Biochemistry & Molecular Biology (ASBMB)10.1194","open","137","17","true","true"
"American Society of Civil Engineers (ASCE) (ID 30)","American Society of Civil Engineers (ASCE)10.1061","open","193141","19181","true","true"
"American Society for Clinical Pathology (ASCP) (ID 32)","American Society for Clinical Pathology (ASCP)10.1309","open","7","0","false","false"
"ASME International (ID 33)","ASME International10.1115","open","279737","25914","true","true"
"American Society for Pharmacology & Experimental Therapeutics (ASPET) (ID 36)","American Society for Pharmacology & Experimental Therapeutics (ASPET)10.1124","open","18758","1162","true","true"
"American Society of Plant Biologists (ASPB) (ID 37)","American Society of Plant Biologists (ASPB)10.1104","open","0","529","false","false"
"American Society of Plant Biologists (ASPB) (ID 37)","American Society of Plant Biologists (ASPB)10.1105","open","0","529","false","false"
"American Society of Plant Biologists (ASPB) (ID 37)","American Society of Plant Biologists (ASPB)10.46678","open","0","529","false","false"
"British Editorial Society of Bone & Joint Surgery (ID 42)","British Editorial Society of Bone & Joint Surgery10.1302","open","16598","3349","true","true"
"British Institute of Radiology (ID 45)","British Institute of Radiology10.1259","open","36651","1794","true","true"
"Brill (ID 50)","Brill10.2959","open","499252","49111","true","true"
"Brill (ID 50)","Brill10.1163","open","499252","49111","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.7135","open","2179955","162467","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.3815","open","2179955","162467","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.5949","open","2179955","162467","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.1375","open","2179955","162467","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.7313","open","2179955","162467","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.1154","open","2179955","162467","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.4039","open","2179955","162467","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.5948","open","2179955","162467","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.1017","open","2179955","162467","true","true"
"Cambridge University Press (CUP) (ID 56)","Cambridge University Press (CUP)10.33774","open","2179955","162467","true","true"
"Clay Minerals Society (ID 63)","Clay Minerals Society10.1346","open","118","0","false","false"
"CSIRO Publishing (ID 67)","CSIRO Publishing10.1071","open","91335","6444","true","true"
"Dartmouth College Library Press (ID 69)","Dartmouth College Library Press10.1349","open","1587","25","false","false"
"Clarivate (ID 71)","Clarivate10.4023","open","9430","432","false","false"
"Clarivate (ID 71)","Clarivate10.1358","open","9430","432","false","false"
"Clarivate (ID 71)","Clarivate10.14322","open","9430","432","false","false"
"CNRI Acct (ID 72)","CNRI Acct10.1045","open","1127","0","false","false"
"Duke University Press (ID 73)","Duke University Press10.1215","open","139431","12292","true","true"
"Earthquake Engineering Research Institute (ID 75)","Earthquake Engineering Research Institute10.1193","open","2","0","true","false"
"The Electrochemical Society (ID 77)","The Electrochemical Society10.1149","open","153656","21027","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1529","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.14219","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1367","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1205","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1006","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.2139","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.3921","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.3129","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1602","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1580","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1240","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1383","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.7424","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1067","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.21967","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.2111","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.2353","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.3182","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.3816","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1157","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1533","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1016","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1378","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.7811","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.4065","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1197","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1054","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1053","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1331","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.1078","open","17452823","2432124","true","true"
"Elsevier BV (ID 78)","Elsevier BV10.25013","open","17452823","2432124","true","true"
"EMBO (ID 79)","EMBO10.15252","open","8900","2670","true","true"
"The Endocrine Society (ID 80)","The Endocrine Society10.1210","open","105589","8120","true","true"
"European Respiratory Society (ERS) (ID 81)","European Respiratory Society (ERS)10.1183","open","36759","11196","true","true"
"Gallaudet University Press (Project Muse) (ID 92)","Gallaudet University Press (Project Muse)10.1374","open","0","0","false","false"
"Springer Fachmedien Wiesbaden GmbH (ID 93)","Springer Fachmedien Wiesbaden GmbH10.1365","open","14234","673","true","true"
"Hindawi Limited (ID 98)","Hindawi Limited10.7167","open","261932","95205","true","true"
"Hindawi Limited (ID 98)","Hindawi Limited10.1100","open","261932","95205","true","true"
"Hindawi Limited (ID 98)","Hindawi Limited10.1155","open","261932","95205","true","true"
"Hindawi Limited (ID 98)","Hindawi Limited10.5402","open","261932","95205","true","true"
"Hindawi Limited (ID 98)","Hindawi Limited10.7217","open","261932","95205","true","true"
"Hindawi Limited (ID 98)","Hindawi Limited10.4061","open","261932","95205","true","true"
"Hindawi Limited (ID 98)","Hindawi Limited10.6064","open","261932","95205","true","true"
"Hindawi Limited (ID 98)","Hindawi Limited10.3814","open","261932","95205","true","true"
"Human Kinetics (ID 100)","Human Kinetics10.1123","open","24759","4603","true","true"
