"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"50Sea (ID 18982)","50Sea10.33411","open","0","21","false","true"
"Abant Izzet Baysal Universitesi Ilahiyat Fakultesi Dergisi (ID 19799)","Abant Izzet Baysal Universitesi Ilahiyat Fakultesi Dergisi10.33931","open","0","15","false","true"
"Academia Europea de Direccion y Economia de la Empresa (ID 20782)","Academia Europea de Direccion y Economia de la Empresa10.35564","open","0","35","false","true"
"Academic Association of Management  and Administration - AVADA (ID 19339)","Academic Association of Management and Administration - AVADA10.33605","open","0","16","false","true"
"Academic Perspective (ID 19462)","Academic Perspective10.33793","open","0","152","false","true"
"Academic Research Centre (ID 17541)","Academic Research Centre10.32476","open","0","9","false","true"
"Academic Research Publishing Group (ID 18113)","Academic Research Publishing Group10.32861","open","0","1357","false","true"
"Academus Publishing (ID 15171)","Academus Publishing10.31519","open","0","385","false","true"
"Academy Journal of Educational Sciences (ID 17040)","Academy Journal of Educational Sciences10.31805","open","0","25","false","true"
"Academy of Social Enterprise (ID 17911)","Academy of Social Enterprise10.32675","open","24","38","true","true"
"Academy Of The State Penitentiary Servise (ID 18049)","Academy Of The State Penitentiary Servise10.32755","open","0","161","false","true"
"ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales (ID 7558)","ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales10.18257","open","195","188","false","true"
"Acta Materialia Transylvanica (ID 19784)","Acta Materialia Transylvanica10.33923","open","0","31","false","true"
"Acta Materialia Transylvanica (ID 19784)","Acta Materialia Transylvanica10.33924","open","0","31","false","true"
"Acta Medica Alanya (ID 12012)","Acta Medica Alanya10.30565","open","0","118","false","true"
"Adam Akademi Sosyal Bilimler Dergisi (ID 16830)","Adam Akademi Sosyal Bilimler Dergisi10.31679","open","6","39","true","true"
"Addaiyan International Publishers (ID 21623)","Addaiyan International Publishers10.36099","open","0","11","false","true"
"Addaiyan International Publishers (ID 21848)","Addaiyan International Publishers10.36099","open","0","11","false","true"
"Adiyaman Universitesi Saglik Bilimleri Dergisi (ID 12019)","Adiyaman Universitesi Saglik Bilimleri Dergisi10.30569","open","24","118","true","true"
"Adiyaman University - Mecuma (ID 17770)","Adiyaman University - Mecuma10.32579","open","0","27","false","true"
"Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 12255)","Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi10.30803","open","64","105","true","true"
"Advanced Computing and Communications Society - ACCS (ID 19819)","Advanced Computing and Communications Society - ACCS10.34048","open","0","6","false","true"
"Advances in Hospitality and Tourism Research (ID 11972)","Advances in Hospitality and Tourism Research10.30519","open","0","23","false","true"
"Advances in the Theory of Nonlinear Analysis and its Application (ID 15935)","Advances in the Theory of Nonlinear Analysis and its Application10.31197","open","0","41","false","true"
"Afet ve Risk Dergisi (ID 20730)","Afet ve Risk DergisI10.35341","open","0","18","false","true"
"Afro Eurasian Studies (ID 19503)","Afro Eurasian Studies10.33722","open","0","16","false","true"
"Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi (ID 19500)","Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi10.33707","open","67","38","false","true"
"Afyon Kocatepe Universitesi Sosyal Bilimler Dergisi (ID 17953)","Afyon Kocatepe Universitesi Sosyal Bilimler Dergisi10.32709","open","75","92","false","true"
"Agri Ibrahim Cecen Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 16519)","Agri Ibrahim Cecen Universitesi Sosyal Bilimler Enstitusu Dergisi10.31463","open","0","24","false","true"
"Ahi Evran Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 16710)","Ahi Evran Universitesi Sosyal Bilimler Enstitusu Dergisi10.31592","open","0","28","false","true"
"Ailamazyan Program Systems Institute of Russian Academy of Sciences (PSI RAS) (ID 10844)","Ailamazyan Program Systems Institute of Russian Academy of Sciences (PSI RAS)10.25209","open","106","97","true","false"
"AIP Publishing (ID 317)","American Institute of Physics10.1063","open","713961","72771","true","true"
"Akademiai Kiado Zrt. (ID 425)","Akademiai Kiado Zrt.10.1556","open","28863","5248","true","true"
"Akademik Dil ve Edebiyat Dergisi (ID 20014)","Akademik Dil ve Edebiyat Dergisi10.34083","open","0","70","false","true"
"Akademik Sosyal Arastirmalar Dergisi (Asya Studies) (ID 16499)","Akademik Sosyal Arastirmalar Dergisi (Asya Studies)10.31455","open","0","52","false","true"
"Akdeniz Kadin Calismalari ve Toplumsal Cinsiyet Dergisi (ID 19497)","Akdeniz Kadin Calismalari ve Toplumsal Cinsiyet Dergisi10.33708","open","0","6","false","true"
