Publisher,Address
AIP Publishing,http://aipp.com
Aleksandras Stulginskis University,https://asu.lt
American Accounting Association,http://aaahq.org
American Association for the Advancement of Science (AAAS),https://www.aaas.org/
American Cancer Society,http://cancer.org
American Chemical Society,http://acs.org
American Dental Society of Anesthesiology,https://www.adsahome.org/
American Geophysical Union,http://agu.org
American Institute of Aeronautics and Astronautics,https://www.aiaa.org/
American Pharmacists Association,http://pharmacist.com
American Physical Society,https://www.aps.org/
American Physiological Society,http://the-aps.org
American Society for Biochemistry and Molecular Biology,http://asbmb.org
American Society for Cell Biology,http://www.ascb.org/
American Society for Microbiology,http://asm.org
American Society for Pharmacology & Experimental Therapeutics,https://www.aspet.org/
American Society of Neuroradiology,https://www.asnr.org/
American Society of Parasitologists,https://amsocparasit.org/
American Thoracic Society,http://thoracic.org
Antiquity Publications,https://antiquity.ac.uk/
AOSIS,http://aosisgroup.com
ASME International,https://www.asme.org/
Asociacion Espanola de Contabilidad y Administracion de Empresas,http://aeca.es/
Association for Computing Machinery (ACM),http://acm.org
Association of Lithuanian Serials,http://serials.lt/news/
Atlantis Press,https://www.atlantis-press.com/
Baishideng Publishing Group Inc.,https://www.wjgnet.com/
Bangladesh Journals Online,https://www.banglajol.info/
"Biology Centre, AS CR",http://www.bc.cas.cz/en/
BMJ,http://bmj.com
Botanic Garden & Botanical Museum Berlin-Dahlem BGBM,http://bgbm.org
Brighthall,http://brighthall.com/
Brill Academic Publishers,http://www.brill.com/
British Institute of Radiology,https://www.bir.org.uk/
CABI Publishing,https://www.cabi.org/
Cambridge University Press (CUP),http://cambridge.org
Canadian Science Publishing,http://cdnsciencepub.com
Cappelen Damm AS - Cappelen Damm Akademisk,https://www.cappelendammundervisning.no/cdu/akademisk/index.action#filter?
Cellule MathDoc/CEDRAM,http://www.cedram.org
Chelonian Conservation and Biology Journal,http://www.chelonianjournals.org
Co. Ltd. Ukrinformnauka,None
Cold Spring Harbor Laboratory,http://cshl.edu
College Publishing,http://www.collegepublishing.us/
Copernicus GmbH,https://www.copernicus.org/
Corporacion Universitaria Remington,http://www.uniremington.edu.co/
Council for British Archaeology,http://new.archaeologyuk.org/
Croatian Society for Medical Biochemistry and Laboratory Medicine,http://www.biochemia-medica.com/
Danylo Halytskyi Lviv National Medical University,http://www.lvivmedicaluniversity.com/
De Gruyter GmbH,https://www.degruyter.com/
Department of Forest Management,None
Drustvo psihologov Slovenije/Slovenian Psychologists' Association,http://www.dps.si/
Edinburgh University Press,http://edinburghuniversitypress.com
EDP Sciences,http://edpsciences.org
El Profesional de la Información,https://recyt.fecyt.es/index.php/EPI
"eLife Sciences Organisation, Ltd.",https://elifesciences.org/
EMBO,http://embopress.org
Emerald,http://www.emeraldgrouppublishing.com
Equinox Publishing,http://equinoxpub.com
Erudit,https://www.erudit.org
European Association of Cardiothoracic Surgery (EACTS Publishing Ltd),http://www.eacts.org/
European Centre for Disease Control and Prevention (ECDC),https://ecdc.europa.eu
"F1000 Research, Ltd.",https://f1000research.com/
"Faculty of 1000, Ltd.",http://f1000.com/
Foundation of Computer Science,http://www.fcsresearch.org/
Frontiers Media SA,http://www.frontiersin.org/
Future Medicine Ltd,https://www.futuremedicine.com/
"Future Science, LTD",https://www.future-science.com/
Geological Society,https://www.geolsoc.org.uk/
Global Science Press,http://www.global-sci.org/
"Goodfellow Publishers, Ltd.",https://www.goodfellowpublishers.com
Guttmacher Institute,http://guttmacher.org
Hamad bin Khalifa University Press,http://www.hbkupress.com/
Health Affairs (Project Hope),https://www.healthaffairs.org/
Hindawi Limited,https://www.hindawi.com/
Informa UK Limited,None
Institute of Aeronautics and Space,None
Institute of Education Press,None
Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria,http://www.inia.es
Instituto Nacional de Salud Publica,None
InTechOpen,http://intechopen.com
International Association for Food Protection,http://foodprotection.org
International Phycological Society,http://www.intphycsoc.org/
International Union of Crystallography (IUCr),https://www.iucr.org/
IOS Press,http://iospress.nl
JMIR Publications Inc.,http://jmirpublications.com/
John Benjamins Publishing Company,https://benjamins.com/
Journal of Gambling Issues,http://jgi.camh.net/index.php/jgi
Journal of Tourism and Hospitality Management,http://jthmnet.com/
JVE International Ltd.,http://www.jvejournals.com
S. Karger AG,https://www.karger.com/
Kolej Islam Darul Ridzuan,None
